method,m,n_jobs,OPT_pre,LPT,LPT_ratio,SPT,SPT_ratio,LPPT,LPPT_ratio,SPPT,SPPT_ratio,Random,Random_ratio
M1,5,115,85028.4,85037.0,1.000101142677035,111253.0,1.308421656764093,125896.0,1.4806347055807236,132784.0,1.5616429334198927,138724.0,1.6315019452324167
M3,5,115,85028.4,85037.0,1.000101142677035,111253.0,1.308421656764093,105486.0,1.240597259268668,106641.0,1.2541809560099921,138724.0,1.6315019452324167
M4,5,115,85028.4,85037.0,1.000101142677035,111253.0,1.308421656764093,107485.0,1.2641070512910981,156913.0,1.8454187071613721,138724.0,1.6315019452324167
M5,5,115,85028.4,85037.0,1.000101142677035,111253.0,1.308421656764093,108521.0,1.2762912156408919,111234.0,1.3081982020125043,138724.0,1.6315019452324167
M6,5,115,85028.4,85037.0,1.000101142677035,111253.0,1.308421656764093,108188.0,1.2723748770998866,130266.0,1.5320292984461663,138724.0,1.6315019452324167
M7,5,115,85028.4,85037.0,1.000101142677035,111253.0,1.308421656764093,129854.0,1.5271838585696074,125499.0,1.4759656773501562,138724.0,1.6315019452324167
M1,10,330,138422.3,138429.0,1.0000484026056495,180626.0,1.3048909026941469,240464.0,1.737176741030889,201549.0,1.4560442934411582,253803.7,1.8335463288790899
M3,10,330,138422.3,138429.0,1.0000484026056495,180626.0,1.3048909026941469,200887.0,1.4512618270322053,194932.0,1.408241302160129,253803.7,1.8335463288790899
M4,10,330,138422.3,138429.0,1.0000484026056495,180626.0,1.3048909026941469,242131.0,1.7492195982872702,243409.0,1.7584522147081794,253803.7,1.8335463288790899
M5,10,330,138422.3,138429.0,1.0000484026056495,180626.0,1.3048909026941469,211463.0,1.5276657012634527,210971.0,1.5241113606694876,253803.7,1.8335463288790899
M6,10,330,138422.3,138429.0,1.0000484026056495,180626.0,1.3048909026941469,256690.0,1.8543977379367342,254677.0,1.8398552834333777,253803.7,1.8335463288790899
M7,10,330,138422.3,138429.0,1.0000484026056495,180626.0,1.3048909026941469,192911.0,1.3936410535007728,211634.0,1.5289010513479404,253803.7,1.8335463288790899
M1,20,860,183117.2,183126.0,1.0000480566544268,284571.0,1.5540375235095336,297998.0,1.62736214839458,366739.0,2.0027556122526993,367414.3,2.006443414381609
M3,20,860,183117.2,183126.0,1.0000480566544268,284571.0,1.5540375235095336,247494.0,1.3515606398525097,287400.0,1.5694866457110528,367414.3,2.006443414381609
M4,20,860,183117.2,183126.0,1.0000480566544268,284571.0,1.5540375235095336,287951.0,1.5724956475961842,300699.0,1.6421122647135276,367414.3,2.006443414381609
M5,20,860,183117.2,183126.0,1.0000480566544268,284571.0,1.5540375235095336,325426.0,1.7771460026693287,283064.0,1.5458078214389472,367414.3,2.006443414381609
M6,20,860,183117.2,183126.0,1.0000480566544268,284571.0,1.5540375235095336,343372.0,1.8751488117992192,313204.0,1.710401862850677,367414.3,2.006443414381609
M7,20,860,183117.2,183126.0,1.0000480566544268,284571.0,1.5540375235095336,289571.0,1.5813424407974783,261321.0,1.4270696581205915,367414.3,2.006443414381609
M1,50,2800,236903.76,236913.0,1.0000390031800255,337412.0,1.4242576816847483,435789.0,1.8395191363784178,446564.0,1.8850017407912816,466052.9,1.9672667922197604
M3,50,2800,236903.76,236913.0,1.0000390031800255,337412.0,1.4242576816847483,456308.0,1.9261323670000003,413675.0,1.7461732139667179,466052.9,1.9672667922197604
M4,50,2800,236903.76,236913.0,1.0000390031800255,337412.0,1.4242576816847483,488583.0,2.062369124069622,417720.0,1.7632476580363265,466052.9,1.9672667922197604
M5,50,2800,236903.76,236913.0,1.0000390031800255,337412.0,1.4242576816847483,429225.0,1.8118116825161406,388576.0,1.6402272382675565,466052.9,1.9672667922197604
M6,50,2800,236903.76,236913.0,1.0000390031800255,337412.0,1.4242576816847483,423322.0,1.7868943912076363,411882.0,1.7386047397474822,466052.9,1.9672667922197604
M7,50,2800,236903.76,236913.0,1.0000390031800255,337412.0,1.4242576816847483,388277.0,1.6389651223771204,401325.0,1.6940423402313243,466052.9,1.9672667922197604
M1,100,6600,283942.32,283949.0,1.0000235259048387,472168.0,1.6629011131556577,579547.0,2.0410729897536934,548643.0,1.9322339832963258,610191.9,2.1489994869380515
M3,100,6600,283942.32,283949.0,1.0000235259048387,472168.0,1.6629011131556577,664622.0,2.3406937014531684,656503.0,2.3120998659164296,610191.9,2.1489994869380515
M4,100,6600,283942.32,283949.0,1.0000235259048387,472168.0,1.6629011131556577,587965.0,2.070719856060907,508684.0,1.791504697151168,610191.9,2.1489994869380515
M5,100,6600,283942.32,283949.0,1.0000235259048387,472168.0,1.6629011131556577,538086.0,1.8950538968618695,536392.0,1.889087896443193,610191.9,2.1489994869380515
M6,100,6600,283942.32,283949.0,1.0000235259048387,472168.0,1.6629011131556577,723245.0,2.54715464746502,539171.0,1.8988750954771376,610191.9,2.1489994869380515
M7,100,6600,283942.32,283949.0,1.0000235259048387,472168.0,1.6629011131556577,607518.0,2.139582433502692,624354.0,2.1988761661171186,610191.9,2.1489994869380515
