decile,p_lo,p_hi,p_median,n,base_cov25,metacal_cov25,base_cov50,metacal_cov50
1,4.0,35.0,25.0,11097,14.814814814814813,18.86095341083176,23.204469676489143,27.277642606109758
2,36.0,69.0,53.0,10906,13.7997432605905,18.833669539702917,29.17660003667706,35.7601320374106
3,70.0,147.0,96.0,10995,20.600272851296044,23.07412460209186,35.725329695316056,38.344702137335155
4,148.0,277.0,216.0,11064,40.8532176428055,41.458785249457705,58.13449023861171,58.649674620390456
5,278.0,515.0,365.0,10876,38.718278778962855,39.040088267745496,52.25266642147849,53.328429569694734
6,516.0,995.0,728.0,10991,30.18833591120007,33.700300245655534,53.72577563461014,55.41806932945137
7,996.0,1918.0,1412.5,10974,35.62967012939676,31.15545835611445,60.852925095680696,56.61563696008748
8,1919.0,4166.0,3004.0,10981,26.636918313450504,23.267461979783263,60.23130862398689,57.60859666697022
9,4167.0,10429.0,6304.0,10984,35.28769118718135,34.29533867443554,60.34231609613984,60.72469045884924
10,10433.0,535085.0,18809.0,10986,34.65319497542327,35.50882941926088,48.20680866557437,49.53577280174768
