method,m,OPT_pre,LPT_ratio,SPT_ratio,Random_ratio,LPPT_ratio,SPPT_ratio
M1,5,85028.4,1.0001,1.3084,1.6315,1.4806,1.5616
M3,5,85028.4,1.0001,1.3084,1.6315,1.2406,1.2542
M4,5,85028.4,1.0001,1.3084,1.6315,1.2641,1.8454
M5,5,85028.4,1.0001,1.3084,1.6315,1.2763,1.3082
M6,5,85028.4,1.0001,1.3084,1.6315,1.2724,1.532
M7,5,85028.4,1.0001,1.3084,1.6315,1.5272,1.476
M1,10,138422.3,1.0,1.3049,1.8335,1.7372,1.456
M3,10,138422.3,1.0,1.3049,1.8335,1.4513,1.4082
M4,10,138422.3,1.0,1.3049,1.8335,1.7492,1.7585
M5,10,138422.3,1.0,1.3049,1.8335,1.5277,1.5241
M6,10,138422.3,1.0,1.3049,1.8335,1.8544,1.8399
M7,10,138422.3,1.0,1.3049,1.8335,1.3936,1.5289
M1,20,183117.2,1.0,1.554,2.0064,1.6274,2.0028
M3,20,183117.2,1.0,1.554,2.0064,1.3516,1.5695
M4,20,183117.2,1.0,1.554,2.0064,1.5725,1.6421
M5,20,183117.2,1.0,1.554,2.0064,1.7771,1.5458
M6,20,183117.2,1.0,1.554,2.0064,1.8751,1.7104
M7,20,183117.2,1.0,1.554,2.0064,1.5813,1.4271
M1,50,236903.8,1.0,1.4243,1.9673,1.8395,1.885
M3,50,236903.8,1.0,1.4243,1.9673,1.9261,1.7462
M4,50,236903.8,1.0,1.4243,1.9673,2.0624,1.7632
M5,50,236903.8,1.0,1.4243,1.9673,1.8118,1.6402
M6,50,236903.8,1.0,1.4243,1.9673,1.7869,1.7386
M7,50,236903.8,1.0,1.4243,1.9673,1.639,1.694
M1,100,283942.3,1.0,1.6629,2.149,2.0411,1.9322
M3,100,283942.3,1.0,1.6629,2.149,2.3407,2.3121
M4,100,283942.3,1.0,1.6629,2.149,2.0707,1.7915
M5,100,283942.3,1.0,1.6629,2.149,1.8951,1.8891
M6,100,283942.3,1.0,1.6629,2.149,2.5472,1.8989
M7,100,283942.3,1.0,1.6629,2.149,2.1396,2.1989
