policy,rho_max,rho_99,rho_med
OPT (EDF at S*),1.0,0.985,0.041
SRPT (true),1.186,1.09,0.013
FIFO,2931.741,1287.149,25.728
LAS/FB,169.637,132.238,3.556
M1 SPRPT,43.639,28.145,0.39
M1 EDF-P,71.565,53.89,1.517
M3 SPRPT,53.749,33.037,0.471
M3 EDF-P,96.748,70.345,1.644
M4 SPRPT,50.697,27.235,0.457
M4 EDF-P,63.438,47.617,0.553
M5 SPRPT,27.451,21.335,0.293
M5 EDF-P,29.932,22.545,0.689
M6 SPRPT,51.68,28.667,0.417
M6 EDF-P,86.882,66.223,1.577
M7 SPRPT,46.385,26.844,0.408
M7 EDF-P,65.571,53.15,1.12
