[val split] es=65,912 (early-stop+calib)  sel=43,942 (held-out selection)
[val_sel pops] cold(==0)=16,967 seen(>=1)=26,975
[  0]     27s score= 13.39  cold25=13.39 seen25=40.30 all25=29.91 all_rmsle=1.243 | obj=l2 cal=iso_segmult nl=127 grp=3 | BEST cold25=13.39
[  1]     61s score= 13.61  cold25=13.61 seen25=40.86 all25=30.34 all_rmsle=1.279 | obj=quantile cal=iso_segmult nl=63 grp=3 | BEST cold25=13.61
[  2]     93s score= 12.86  cold25=12.86 seen25=35.17 all25=26.55 all_rmsle=1.249 | obj=l2 cal=iso nl=255 grp=3 | BEST cold25=13.61
[  3]    101s score= 11.81  cold25=11.81 seen25=34.99 all25=26.04 all_rmsle=1.310 | obj=l2 cal=none nl=63 grp=1 | BEST cold25=13.61
[  4]    105s score= 10.68  cold25=10.68 seen25=37.86 all25=27.36 all_rmsle=1.358 | obj=huber cal=none nl=31 grp=1 | BEST cold25=13.61
[  5]    164s score= 13.74  cold25=13.74 seen25=45.22 all25=33.07 all_rmsle=1.283 | obj=huber cal=segmult nl=255 grp=3 | BEST cold25=13.74
[  6]    194s score= 12.94  cold25=12.94 seen25=35.24 all25=26.63 all_rmsle=1.244 | obj=l2 cal=iso nl=255 grp=2 | BEST cold25=13.74
[  7]    200s score= 14.30  cold25=14.30 seen25=41.61 all25=31.06 all_rmsle=1.350 | obj=huber cal=segmult nl=31 grp=1 | BEST cold25=14.30
[  8]    238s score=-88.27  cold25=11.73 seen25=34.91 all25=25.96 all_rmsle=1.244 | obj=l2 cal=iso nl=31 grp=2 | BEST cold25=14.30
[  9]    280s score= 14.26  cold25=14.26 seen25=42.14 all25=31.38 all_rmsle=1.317 | obj=quantile cal=iso_segmult nl=31 grp=3 | BEST cold25=14.30
[ 10]    295s score= 12.69  cold25=12.69 seen25=38.02 all25=28.24 all_rmsle=1.314 | obj=quantile cal=iso_segmult nl=127 grp=1 | BEST cold25=14.30
[ 11]    324s score=-87.85  cold25=12.15 seen25=33.68 all25=25.36 all_rmsle=1.278 | obj=l2 cal=iso nl=63 grp=1 | BEST cold25=14.30
[ 12]    330s score=-87.66  cold25=12.34 seen25=32.08 all25=24.45 all_rmsle=1.293 | obj=l2 cal=iso nl=127 grp=1 | BEST cold25=14.30
[ 13]    366s score= 15.62  cold25=15.62 seen25=45.09 all25=33.71 all_rmsle=1.353 | obj=huber cal=segmult nl=127 grp=3 | BEST cold25=15.62
[ 14]    386s score= 12.79  cold25=12.79 seen25=41.41 all25=30.36 all_rmsle=1.343 | obj=quantile cal=segmult nl=31 grp=1 | BEST cold25=15.62
[ 15]    449s score= 11.32  cold25=11.32 seen25=40.47 all25=29.22 all_rmsle=1.252 | obj=l2 cal=iso_segmult nl=127 grp=2 | BEST cold25=15.62
[ 16]    488s score= 12.34  cold25=12.34 seen25=39.62 all25=29.09 all_rmsle=1.306 | obj=huber cal=iso_segmult nl=63 grp=1 | BEST cold25=15.62
[ 17]    506s score= 11.45  cold25=11.45 seen25=35.25 all25=26.06 all_rmsle=1.269 | obj=l2 cal=none nl=63 grp=2 | BEST cold25=15.62
[ 18]    520s score= 11.81  cold25=11.81 seen25=36.79 all25=27.14 all_rmsle=1.332 | obj=l2 cal=iso nl=127 grp=3 | BEST cold25=15.62
[ 19]    577s score= 13.31  cold25=13.31 seen25=40.86 all25=30.22 all_rmsle=1.290 | obj=huber cal=iso_segmult nl=255 grp=2 | BEST cold25=15.62
[ 20]    603s score= 15.28  cold25=15.28 seen25=38.75 all25=29.69 all_rmsle=1.293 | obj=quantile cal=none nl=127 grp=1 | BEST cold25=15.62
[ 21]    634s score= 12.08  cold25=12.08 seen25=40.09 all25=29.27 all_rmsle=1.338 | obj=l2 cal=iso_segmult nl=63 grp=3 | BEST cold25=15.62
[ 22]    657s score= 14.76  cold25=14.76 seen25=48.23 all25=35.30 all_rmsle=1.299 | obj=quantile cal=segmult nl=63 grp=3 | BEST cold25=15.62
[ 23]    662s score= 14.77  cold25=14.77 seen25=36.30 all25=27.98 all_rmsle=1.370 | obj=huber cal=none nl=31 grp=1 | BEST cold25=15.62
[ 24]    676s score= 13.18  cold25=13.18 seen25=39.16 all25=29.13 all_rmsle=1.302 | obj=l2 cal=segmult nl=31 grp=3 | BEST cold25=15.62
[ 25]    690s score= 11.01  cold25=11.01 seen25=35.77 all25=26.21 all_rmsle=1.266 | obj=l2 cal=none nl=255 grp=3 | BEST cold25=15.62
[ 26]    707s score= 13.44  cold25=13.44 seen25=40.96 all25=30.34 all_rmsle=1.307 | obj=l2 cal=segmult nl=63 grp=3 | BEST cold25=15.62
[ 27]    768s score= 12.91  cold25=12.91 seen25=36.77 all25=27.56 all_rmsle=1.310 | obj=quantile cal=iso nl=255 grp=3 | BEST cold25=15.62
[ 28]    821s score= 12.70  cold25=12.70 seen25=40.33 all25=29.66 all_rmsle=1.303 | obj=huber cal=none nl=31 grp=3 | BEST cold25=15.62
[ 29]    854s score= 14.72  cold25=14.72 seen25=38.22 all25=29.15 all_rmsle=1.319 | obj=huber cal=none nl=31 grp=1 | BEST cold25=15.62
[ 30]    888s score= 15.05  cold25=15.05 seen25=40.83 all25=30.87 all_rmsle=1.346 | obj=huber cal=iso_segmult nl=31 grp=3 | BEST cold25=15.62
[ 31]    927s score= 12.73  cold25=12.73 seen25=37.29 all25=27.80 all_rmsle=1.290 | obj=l2 cal=none nl=127 grp=2 | BEST cold25=15.62
[ 32]    940s score= 12.35  cold25=12.35 seen25=35.23 all25=26.39 all_rmsle=1.290 | obj=l2 cal=iso nl=31 grp=2 | BEST cold25=15.62
[ 33]    963s score= 12.61  cold25=12.61 seen25=40.74 all25=29.88 all_rmsle=1.306 | obj=huber cal=none nl=127 grp=3 | BEST cold25=15.62
[ 34]    998s score= 14.06  cold25=14.06 seen25=36.10 all25=27.59 all_rmsle=1.264 | obj=huber cal=iso nl=127 grp=1 | BEST cold25=15.62
[ 35]   1012s score= 14.07  cold25=14.07 seen25=41.11 all25=30.67 all_rmsle=1.242 | obj=l2 cal=segmult nl=127 grp=2 | BEST cold25=15.62
[ 36]   1033s score= 13.37  cold25=13.37 seen25=42.74 all25=31.40 all_rmsle=1.309 | obj=huber cal=segmult nl=31 grp=1 | BEST cold25=15.62
[ 37]   1060s score= 12.34  cold25=12.34 seen25=35.72 all25=26.69 all_rmsle=1.321 | obj=quantile cal=iso nl=31 grp=3 | BEST cold25=15.62
[ 38]   1104s score= 14.26  cold25=14.26 seen25=44.24 all25=32.66 all_rmsle=1.269 | obj=huber cal=segmult nl=127 grp=1 | BEST cold25=15.62
[ 39]   1147s score= 12.36  cold25=12.36 seen25=35.54 all25=26.59 all_rmsle=1.284 | obj=quantile cal=iso nl=63 grp=2 | BEST cold25=15.62
[ 40]   1179s score= 13.76  cold25=13.76 seen25=38.72 all25=29.08 all_rmsle=1.303 | obj=quantile cal=iso_segmult nl=63 grp=3 | BEST cold25=15.62
[ 41]   1187s score= 11.88  cold25=11.88 seen25=38.54 all25=28.25 all_rmsle=1.315 | obj=quantile cal=iso_segmult nl=63 grp=1 | BEST cold25=15.62
[ 42]   1211s score= 14.68  cold25=14.68 seen25=33.48 all25=26.22 all_rmsle=1.298 | obj=l2 cal=none nl=255 grp=1 | BEST cold25=15.62
[ 43]   1237s score= 13.84  cold25=13.84 seen25=40.52 all25=30.22 all_rmsle=1.318 | obj=quantile cal=none nl=255 grp=1 | BEST cold25=15.62
[ 44]   1247s score= 14.45  cold25=14.45 seen25=39.98 all25=30.12 all_rmsle=1.258 | obj=l2 cal=iso_segmult nl=255 grp=1 | BEST cold25=15.62
[ 45]   1272s score= 12.86  cold25=12.86 seen25=40.44 all25=29.79 all_rmsle=1.321 | obj=quantile cal=iso_segmult nl=127 grp=1 | BEST cold25=15.62
[ 46]   1287s score= 11.65  cold25=11.65 seen25=40.40 all25=29.30 all_rmsle=1.292 | obj=huber cal=none nl=63 grp=2 | BEST cold25=15.62
[ 47]   1335s score= 13.07  cold25=13.07 seen25=34.80 all25=26.41 all_rmsle=1.308 | obj=quantile cal=iso nl=127 grp=1 | BEST cold25=15.62
[ 48]   1368s score= 13.95  cold25=13.95 seen25=38.37 all25=28.94 all_rmsle=1.283 | obj=huber cal=iso_segmult nl=255 grp=3 | BEST cold25=15.62
[ 49]   1387s score= 11.98  cold25=11.98 seen25=35.98 all25=26.71 all_rmsle=1.321 | obj=quantile cal=iso nl=63 grp=1 | BEST cold25=15.62
